LumaViewPro Protocol
Period	15.0
Duration	96.0
Labware	96 well microplate
Name	X	Y	Z	Auto_Focus	Channel	False_Color	Illumination	Gain	Auto_Gain	Exposure
	14.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	14.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	14.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	14.38	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	23.380000000000003	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	23.380000000000003	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	23.380000000000003	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	23.380000000000003	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	32.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	32.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	32.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	32.38	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	41.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	41.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	41.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	41.38	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	50.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	50.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	50.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	50.38	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	59.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	59.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	59.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	59.38	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	68.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	68.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	68.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
	68.38	11.24	4950.0	0.0	2.0	0.0	345.0	48.0	0.0	178.0
	77.38	11.24	5272.39436	1.0	3.0	0.0	1.0	0.0	0.0	4.0
	77.38	11.24	4950.0	0.0	0.0	0.0	345.0	48.0	0.0	178.0
	77.38	11.24	4950.0	0.0	1.0	0.0	345.0	48.0	0.0	178.0
