Name,X,Y,Z,Channel,Illumination,Gain,Auto_Gain,Exposure
,14.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,14.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,14.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,14.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,23.380000000000003,11.24,3012.2332,3.0,435.0,11.3,,277.12
,23.380000000000003,11.24,2265.7298,0.0,225.0,13.9,,325.31
,23.380000000000003,11.24,2265.7298,1.0,310.0,7.4,,265.07
,23.380000000000003,11.24,2265.7298,2.0,535.0,0.0,,100.0
,32.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,32.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,32.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,32.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,41.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,41.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,41.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,41.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,50.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,50.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,50.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,50.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,59.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,59.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,59.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,59.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,68.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,68.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,68.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,68.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,77.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,77.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,77.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,77.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,86.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,86.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,86.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,86.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,95.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,95.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,95.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,95.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,104.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,104.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,104.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,104.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,113.38,11.24,3012.2332,3.0,435.0,11.3,,277.12
,113.38,11.24,2265.7298,0.0,225.0,13.9,,325.31
,113.38,11.24,2265.7298,1.0,310.0,7.4,,265.07
,113.38,11.24,2265.7298,2.0,535.0,0.0,,100.0
,113.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,113.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,113.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,113.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,104.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,104.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,104.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,104.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,95.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,95.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,95.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,95.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,86.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,86.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,86.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,86.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,77.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,77.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,77.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,77.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
,68.38,20.240000000000002,3012.2332,3.0,435.0,11.3,,277.12
,68.38,20.240000000000002,2265.7298,0.0,225.0,13.9,,325.31
,68.38,20.240000000000002,2265.7298,1.0,310.0,7.4,,265.07
,68.38,20.240000000000002,2265.7298,2.0,535.0,0.0,,100.0
