LumaViewPro Protocol
Period	20.0
Duration	12.0
Labware	96 well microplate
Name	X	Y	Z	Auto_Focus	Channel	False_Color	Illumination	Gain	Auto_Gain	Exposure
	14.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	14.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	14.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	23.380000000000003	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	23.380000000000003	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	23.380000000000003	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	32.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	32.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	32.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	41.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	41.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	41.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	50.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	50.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	50.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	59.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	59.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	59.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	68.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	68.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	68.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	77.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	77.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	77.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	86.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	86.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	86.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	95.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	95.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	95.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	104.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	104.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	104.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	113.38	11.24	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	113.38	11.24	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
	113.38	11.24	7169.915099999999	0.0	2.0	1.0	465.0	1.2	0.0	100.0
	113.38	20.240000000000002	7169.915099999999	1.0	0.0	1.0	275.0	10.0	0.0	100.0
	113.38	20.240000000000002	7280.89764	0.0	1.0	1.0	290.0	11.600000000000001	0.0	100.0
