LumaViewPro Protocol
Version	2
Period	20.0
Duration	48.0
Labware	96 well microplate

Steps
Name	X	Y	Z	Auto_Focus	Color	False_Color	Illumination	Gain	Auto_Gain	Exposure	Objective	Well	Tile	Z-Slice	Custom Step	Tile Group ID	Z-Stack Group ID
	15.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A1		-1	False	-1	-1
	24.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A2		-1	False	-1	-1
	33.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A3		-1	False	-1	-1
	42.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A4		-1	False	-1	-1
	51.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A5		-1	False	-1	-1
	60.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A6		-1	False	-1	-1
	69.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A7		-1	False	-1	-1
	78.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A8		-1	False	-1	-1
	87.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A9		-1	False	-1	-1
	96.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A10		-1	False	-1	-1
	105.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A11		-1	False	-1	-1
	114.38	11.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	A12		-1	False	-1	-1
	114.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B12		-1	False	-1	-1
	105.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B11		-1	False	-1	-1
	96.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B10		-1	False	-1	-1
	87.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B9		-1	False	-1	-1
	78.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B8		-1	False	-1	-1
	69.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B7		-1	False	-1	-1
	60.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B6		-1	False	-1	-1
	51.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B5		-1	False	-1	-1
	42.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B4		-1	False	-1	-1
	33.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B3		-1	False	-1	-1
	24.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B2		-1	False	-1	-1
	15.38	20.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	B1		-1	False	-1	-1
	15.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C1		-1	False	-1	-1
	24.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C2		-1	False	-1	-1
	33.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C3		-1	False	-1	-1
	42.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C4		-1	False	-1	-1
	51.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C5		-1	False	-1	-1
	60.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C6		-1	False	-1	-1
	69.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C7		-1	False	-1	-1
	78.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C8		-1	False	-1	-1
	87.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C9		-1	False	-1	-1
	96.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C10		-1	False	-1	-1
	105.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C11		-1	False	-1	-1
	114.38	29.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	C12		-1	False	-1	-1
	114.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D12		-1	False	-1	-1
	105.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D11		-1	False	-1	-1
	96.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D10		-1	False	-1	-1
	87.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D9		-1	False	-1	-1
	78.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D8		-1	False	-1	-1
	69.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D7		-1	False	-1	-1
	60.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D6		-1	False	-1	-1
	51.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D5		-1	False	-1	-1
	42.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D4		-1	False	-1	-1
	33.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D3		-1	False	-1	-1
	24.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D2		-1	False	-1	-1
	15.38	38.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	D1		-1	False	-1	-1
	15.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E1		-1	False	-1	-1
	24.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E2		-1	False	-1	-1
	33.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E3		-1	False	-1	-1
	42.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E4		-1	False	-1	-1
	51.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E5		-1	False	-1	-1
	60.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E6		-1	False	-1	-1
	69.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E7		-1	False	-1	-1
	78.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E8		-1	False	-1	-1
	87.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E9		-1	False	-1	-1
	96.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E10		-1	False	-1	-1
	105.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E11		-1	False	-1	-1
	114.38	47.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	E12		-1	False	-1	-1
	114.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F12		-1	False	-1	-1
	105.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F11		-1	False	-1	-1
	96.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F10		-1	False	-1	-1
	87.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F9		-1	False	-1	-1
	78.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F8		-1	False	-1	-1
	69.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F7		-1	False	-1	-1
	60.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F6		-1	False	-1	-1
	51.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F5		-1	False	-1	-1
	42.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F4		-1	False	-1	-1
	33.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F3		-1	False	-1	-1
	24.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F2		-1	False	-1	-1
	15.38	56.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	F1		-1	False	-1	-1
	15.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G1		-1	False	-1	-1
	24.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G2		-1	False	-1	-1
	33.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G3		-1	False	-1	-1
	42.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G4		-1	False	-1	-1
	51.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G5		-1	False	-1	-1
	60.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G6		-1	False	-1	-1
	69.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G7		-1	False	-1	-1
	78.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G8		-1	False	-1	-1
	87.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G9		-1	False	-1	-1
	96.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G10		-1	False	-1	-1
	105.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G11		-1	False	-1	-1
	114.38	65.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	G12		-1	False	-1	-1
	114.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H12		-1	False	-1	-1
	105.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H11		-1	False	-1	-1
	96.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H10		-1	False	-1	-1
	87.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H9		-1	False	-1	-1
	78.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H8		-1	False	-1	-1
	69.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H7		-1	False	-1	-1
	60.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H6		-1	False	-1	-1
	51.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H5		-1	False	-1	-1
	42.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H4		-1	False	-1	-1
	33.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H3		-1	False	-1	-1
	24.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H2		-1	False	-1	-1
	15.38	74.24	4950.0	False	BF	False	5.0	1.0	False	2.0	20x Oly	H1		-1	False	-1	-1
