Name,X,Y,Z,Channel,Illumination,Gain,Auto_Gain,Exposure
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
,50,35,4000,1,0,0,0,60
,50,35,4940.59,2,80,0,0,60
