from_tile_index,to_tile_index,from_x_px,from_y_px,to_x_px,to_y_px,method,fft_response,fft_corr_x_px,fft_corr_y_px,used_corr_x_px,used_corr_y_px,fallback_reason,fft_ms,lvp_fallback_ms
3,2,0,0,1609,0,fft,0.9442640410529243,9,-1,9,-1,,20.154000027105212,0.0
3,7,0,0,0,1609,fft,0.8784971868726942,-1,3,-1,3,,21.032208809629083,0.0
2,1,1609,0,3218,0,fft,0.9389117081960042,14,1,14,1,,23.2762498781085,0.0
2,6,1609,0,1609,1609,fft,0.7306295803917778,-1,3,-1,3,,18.267874838784337,0.0
7,11,0,1609,0,3218,fft,0.6952621531486511,0,9,0,9,,19.357250072062016,0.0
1,0,3218,0,4827,0,fft,1.0183606995476617,10,0,10,0,,18.784666899591684,0.0
1,5,3218,0,3218,1609,fft,0.7283648024664985,-1,3,-1,3,,17.117500072345138,0.0
6,10,1609,1609,1609,3218,fft,0.7559778077867296,0,9,0,9,,19.155165879055858,0.0
11,15,0,3218,0,4827,fft,0.8157178662618001,0,9,0,9,,16.97083399631083,0.0
0,4,4827,0,4827,1609,fft,0.9284907692803277,-7,4,-7,4,,17.884416971355677,0.0
5,9,3218,1609,3218,3218,fft,0.7161249578264024,0,9,0,9,,19.253167090937495,0.0
10,14,1609,3218,1609,4827,fft,0.7884559970431858,0,9,0,9,,18.2557909283787,0.0
4,8,4827,1609,4827,3218,fft,0.7574175415039063,-1,9,-1,9,,19.139209063723683,0.0
9,13,3218,3218,3218,4827,fft,0.8573103563520643,0,8,0,8,,19.919499987736344,0.0
8,12,4827,3218,4827,4827,fft,0.8614388671451145,0,9,0,9,,16.647124895825982,0.0
