from_tile_index,to_tile_index,from_x_px,from_y_px,to_x_px,to_y_px,method,fft_response,fft_corr_x_px,fft_corr_y_px,used_corr_x_px,used_corr_y_px,fallback_reason,fft_ms,lvp_fallback_ms
3,2,0,0,1609,0,fft,0.8096114056375292,-13,1,-13,1,,20.38941695354879,0.0
3,7,0,0,0,1609,fft,0.04205946927600437,24,-24,24,-24,,17.664333106949925,0.0
2,1,1609,0,3218,0,fft,1.0133417678409153,-24,-1,-24,-1,,21.388875087723136,0.0
2,6,1609,0,1609,1609,fft,0.3603162392510308,-2,-42,-2,-42,,19.777375040575862,0.0
7,11,0,1609,0,3218,fft,0.019542640050252278,59,-8,59,-8,,18.106624949723482,0.0
1,0,3218,0,4827,0,fft,0.7770583287345039,-22,0,-22,0,,19.698208896443248,0.0
1,5,3218,0,3218,1609,fft,0.7872798399395413,-2,-41,-2,-41,,17.588499933481216,0.0
6,10,1609,1609,1609,3218,fft,0.6910763744778103,-1,-25,-1,-25,,20.46754094772041,0.0
11,15,0,3218,0,4827,fft,0.7341531678305732,-2,-27,-2,-27,,20.643125055357814,0.0
0,4,4827,0,4827,1609,fft,0.7542355828815036,-21,-42,-21,-42,,17.785290954634547,0.0
5,9,3218,1609,3218,3218,fft,0.7953185964160495,-2,-25,-2,-25,,18.955749925225973,0.0
10,14,1609,3218,1609,4827,fft,1.0136909101274278,-2,-29,-2,-29,,18.737500067800283,0.0
4,8,4827,1609,4827,3218,fft,0.9123080610434214,-1,-25,-1,-25,,18.61137500964105,0.0
9,13,3218,3218,3218,4827,fft,1.0286361985736423,-2,-29,-2,-29,,18.261500168591738,0.0
8,12,4827,3218,4827,4827,fft,0.8888961409992642,-2,-29,-2,-29,,16.751958057284355,0.0
