from_tile_index,to_tile_index,from_x_px,from_y_px,to_x_px,to_y_px,method,fft_response,fft_corr_x_px,fft_corr_y_px,used_corr_x_px,used_corr_y_px,fallback_reason,fft_ms,lvp_fallback_ms
0,1,0,0,208,0,fft,1.0042786337124805,0,0,0,0,,4.418416880071163,0.0
0,10,0,0,0,208,fft,0.8000266055266062,1,1,1,1,,0.32429187558591366,0.0
1,2,208,0,415,0,fft,1.0142585424085457,0,0,0,0,,0.323957996442914,0.0
1,11,208,0,208,208,fft,0.9810038415094217,1,-1,1,-1,,0.33370801247656345,0.0
10,20,0,208,0,415,fft,1.0146850518054433,2,1,2,1,,0.30945800244808197,0.0
2,3,415,0,623,0,fft,0.938143914937973,2,0,2,0,,0.2871248871088028,0.0
2,12,415,0,415,208,fft,0.7022827559047276,2,-3,2,-3,,0.25500007905066013,0.0
11,21,208,208,208,415,fft,0.7222707141604688,2,3,2,3,,0.3070840612053871,0.0
20,30,0,415,0,623,fft,1.0147811483177873,-5,0,-5,0,,0.28720893897116184,0.0
3,4,623,0,831,0,fft,0.5799634436766307,-5,0,-5,0,,0.29891706071794033,0.0
3,13,623,0,623,208,fft,0.6370098138848941,1,4,1,4,,0.2685000654309988,0.0
12,22,415,208,415,415,fft,0.9791823269592391,-6,1,-6,1,,0.27320790104568005,0.0
21,31,208,415,208,623,fft,0.739626362754239,-6,-1,-6,-1,,0.3067499492317438,0.0
30,40,0,623,0,831,fft,0.4065158592330085,0,-6,0,-6,,0.2733750734478235,0.0
4,5,831,0,1038,0,fft,0.9859603178169992,-1,0,-1,0,,0.3025420010089874,0.0
4,14,831,0,831,208,fft,0.6776589708195793,2,3,2,3,,0.2899998798966408,0.0
13,23,623,208,623,415,fft,0.9344515598482556,-6,-1,-6,-1,,0.3169579431414604,0.0
22,32,415,415,415,623,fft,0.9511735551887088,-1,1,-1,1,,0.2833339385688305,0.0
31,41,208,623,208,831,fft,1.0028431769046517,-4,0,-4,0,,0.2772079315036535,0.0
40,50,0,831,0,1038,fft,0.7462118893861771,0,4,0,4,,0.26950007304549217,0.0
5,6,1038,0,1246,0,fft,0.5913175086180369,4,1,4,1,,0.2834999468177557,0.0
5,15,1038,0,1038,208,fft,0.6588297022713555,6,4,6,4,,0.27054199017584324,0.0
